"0.tcp.au.ngrok.io","domain|ip"
"138.182.219.216","ip-dst"
"138.182.219.217","ip-dst"
"138.182.219.218","ip-dst"
"138.182.219.219","ip-dst"
"138.182.219.22","ip-dst"
"138.182.219.220","ip-dst"
"138.182.219.221","ip-dst"
"138.182.219.222","ip-dst"
"138.182.219.223","ip-dst"
"138.182.219.224","ip-dst"
"138.182.219.225","ip-dst"
"138.182.219.226","ip-dst"
"138.182.219.227","ip-dst"
"138.182.219.228","ip-dst"
"138.182.219.229","ip-dst"
"138.182.219.23","ip-dst"
"138.182.219.230","ip-dst"
"138.182.219.231","ip-dst"
"138.182.219.232","ip-dst"
"138.182.219.233","ip-dst"
"138.182.219.234","ip-dst"
"138.182.219.235","ip-dst"
"138.182.219.236","ip-dst"
"138.182.219.237","ip-dst"
"138.182.219.238","ip-dst"
"138.182.219.239","ip-dst"
"138.182.219.24","ip-dst"
"138.182.219.240","ip-dst"
"138.182.219.241","ip-dst"
"138.182.219.242","ip-dst"
"138.182.219.243","ip-dst"
"138.182.219.244","ip-dst"
"138.182.219.245","ip-dst"
"138.182.219.246","ip-dst"
"138.182.219.247","ip-dst"
"138.182.219.248","ip-dst"
"138.182.219.249","ip-dst"
"138.182.219.25","ip-dst"
"138.182.219.250","ip-dst"
"138.182.219.251","ip-dst"
"138.182.219.252","ip-dst"
"138.182.219.253","ip-dst"
"138.182.219.254","ip-dst"
"138.182.219.255","ip-dst"
"138.182.219.26","ip-dst"
"138.182.219.27","ip-dst"
"138.182.219.28","ip-dst"
"138.182.219.29","ip-dst"
"138.182.219.3","ip-dst"
"138.182.219.30","ip-dst"
"138.182.219.31","ip-dst"
"138.182.219.32","ip-dst"
"138.182.219.33","ip-dst"
"138.182.219.34","ip-dst"
"138.182.219.35","ip-dst"
"138.182.219.36","ip-dst"
"138.182.219.37","ip-dst"
"138.182.219.38","ip-dst"
"138.182.219.39","ip-dst"
"138.182.219.4","ip-dst"
"138.182.219.40","ip-dst"
